10234     67
10234    100
10234     53
10234     91
11245     89
11245     46
11245     99
14652    100
14652     56
14652     99
14652    100
14652     96
14652     78
19832     92
19832     78
19832     51
19832     76
19832     89
20014    100
20014    100
20014    100
20014    100
21140     43
21140     56
21140     90
21140     78
21140     63
21140     67
21140     89
22256     10
22256      7
22256      7
22256      2
22256     11
22256      2
22256      2
22256     13
22256      9
27654     83
27654     83
27654     83
27654     83
30021     78
30021     67
30021     92
30021     59
30021     82
30021     58
